"1.) EPİTEL VE BAĞ DOKU
Tek katlı prizmatik fırçamsı kenarlı epitel (ince barsak) - PAS&Haemalun
Tek katlı yassı ve çok katlı yassı keratinleşmemiş epitel (cornea) -H&E
Çok katlı yassı keratinleşmiş epitel (kıllı deri) -H&E
Yalancı çok katlı prizmatik titrek tüylü epitel (trakea) –H&E
Çok katlı değişken epitel (idrar kesesi) -H&E
Embriyonik bağ doku (göbek kordonu) –Masson trikrom
Gevşek bağ doku (deri altı) –Safranalin&Hematoksilen
Örgümsü bağ dokusu (deri) -Safranelin &Mallory
Tıkız bağ dokusu (tendon) -H&E",,,,,,,,,,,,,
"2.KAS VE SİNİR DOKUSU
Düz kas (ince bağırsak duvarı) -H&E
İskelet kası (dil) –Heidenhain’ın demirli hematoksileni
Kalp kası -Heidenhain’ın demirli hematoksileni
Piramidal nöronlar (serebrum) –Cajal
Purkinje hücreleri (serebellum) –Cajal
Motor nöron (medulla spinalis) –Krezil viyole
Pseudounipolar nöron (spinal gangliyon) –H&E
Glia hücreleri (serebrum) –Golgi
Koroid pleksus (serebrum) –H&E
Sinir lifi –Osmik asit",,,,,,,,,,,,,
"3.GENEL EMBRİYOLOJİ
Oosit, Ovaryum -Azan
Spermatozoon -Papa nicolau
Embriyo gelişimi-implantasyon -H&E
Gastrulasyon ve nörulasyon -H&E
Plasenta -H&E
Kan Doku –May Grunwald Giemsa                                                          ",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
NOT: Dikey Koridor Dilimi Enjeksiyon ve Dikiş Düğüm uygulamaları Prof.Dr. Yavuz BOZFAKIOĞLU (Hulusi Behçet Kütüphanesi Giriş Kat) Simüle Eğitim Merkezinde yüzyüze eğitim ile yapılacaktır. Uygulamaların sınavları öğrencilerin beceriyi uyguladıkları videoları Tıp Eğitimi AD tarafından açıklanacak linke yüklemeleri ve bu videoların değerlendirilmesi ile yapılacaktır. Dikiş düğüm uygulamasına gelen öğrencilerin yanlarında portegü ve penset getirmeleri gereklidir (Beceri çantası içinde bulunmaktadır).,,,,,,,,,,,,,
,,,,,,,,,,,,,
HAYATIN EVRELERİ DİLİMİ,,,,,,,,,,,,,
4 Mayıs 2026 Pazartesi,08:30-10:20,,,,,,,,,,,,
6 Mayıs 2026 Çarşamba,08:30-10:20,,,,,,,,,,,,
12 Mayıs 2026 Salı,08:30-10:20,,,,,,,,,,,,
,,,,,,,,,,,,,
"Hayatın Evreleri diliminin giriş dersinde tüm birinci sınıf öğrencileri dilimin derslerini veren tüm öğretim üyelerine gruplar halinde dağıtılacak. Her öğrenci, öğretim üyesinin yönlendirmesi doğrultusunda, güncel basında yer alan ve hayatın evreleriyle ilgili, kendinde merak uyandıran herhangi bir konuyu, bilimsel veriler çerçevesinde değerlendirerek o konu hakkında ayrıntılı bir sunu hazırlayacak. Sunumlar ilgili öğretim üyelerine iletilecek. Her öğretim üyesi kendi grubunu değerlendirerek bir ya da birkaç sunuyu seçecek. Seçilen sunular, uygulama derslerinde gruplara yönelik olarak, hazırlayan öğrenciler tarafından sunulacak.",,,,,,,,,,,,,
,,,,,,,,,,,,,
HAREKET DİLİMİ,,,,,,,,,,,,,
Uygulama Tarihi,Saati,Genel Histoloji ve Embriyoloji,Fizyoloji,Anatomi,,,,,,,,,
21 Mayıs 2026 Perşembe,10:30-12:20,,Tüm Gruplar (Amfide yapılacak),Uygulama Tarihi,,Saati,,,,,,,
,,,,2 Mart 2026 Pazartesi,,13.30-16.20,,,,,,,
,,,,6 Mart 2026 Cuma,,14.00-16.50,,,,,,,
,,,,9 Mart 2026 Pazartesi,,13.30-16.20,,,,,,,
2 Haziran 2026 Salı,10:30-12:20,D,,13 Mart 2026 Cuma,,14.00-16.50,,,,,,,
3 Haziran 2026 Çarşamba,10:30-12:20,E,,16 Mart 2026 Pazartesi,,13.30-16.20,,,,,,,
3 Haziran 2026 Çarşamba,13:30-15:20,A,,,,,,,,,,,
4 Haziran 2026 Perşembe,10:30-12:20,F,,23 Mart 2026 Pazartesi,,13.30-16.20,,,,,,,
5 Haziran 2026 Cuma,10:30-12:20,G,,27 Mart 2026 Cuma,,14.00-16.50,,,,,,,
8 Haziran 2026 Pazartesi,10:30-12:20,H,,30 Mart 2026 Pazartesi,,13.30-16.20,,,,,,,
8 Haziran 2026 Pazartesi,13:30-15:20,B,,3 Nisan 2026 Cuma,,14.00-16.50,,,,,,,
10 Haziran 2026 Çarşamba,10:30-12:20,C,,6 Nisan 2026 Pazartesi,,13.30-16.20,,,,,,,
,,,,10 Nisan 2026 Cuma,,14.00-16.50,,,,,,,
,,,,24 Nisan 2026 Cuma,,14.00-16.50,,,,,,,
,,,,5 Mayıs 2026 Salı,,13.30-16.20,,,,,,,
,,,,7 Mayıs 2026 Perşembe,,13.30-16.20,,,,,,,
,,,,12 Mayıs 2026 Salı,,13.30-16.20,,,,,,,
,,,,14 Mayıs 2026 Perşembe,,13.30-16.20,,,,,,,
,,,,21 Mayıs 2026 Perşembe,,13.30-16.20,,,,,,,
,,,,22 Mayıs 2026 Cuma,,14.00-16.50,,,,,,,
,,,,1 Haziran 2026 Pazartesi,,13.30-16.20,,,,,,,
,,,,2 Haziran 2026 Salı,,13.30-16.20,,,,,,,
,,,,4 Haziran 2026 Perşembe,,13.30-16.20,,,,,,,
Uygulama Sayısı,,1,1,21,,,,,,,,,
,,,,,,,,,,,,,
UYGULAMA KONU BAŞLIKLARI,,,,,,,,,,,,,
ANATOMİ AD.,,,,,,,,,,,,,
"Hareket dilimi içinde yer alan Anatomi dersleri, TBG III dilimi içinde başlayarak devam edecektir. Değerlendirmesi Hareket Diliminin içinde olacaktır.",,,,,,,,,,,,,
1.Kemiklerin Yapısı ,,,,,,,,,,,,,
"2.Os coxae, femur, patell",,,,,,,,,,,,,
"3.Tibia, fibula, ossa ped",,,,,,,,,,,,,
"4.Clavicula, scapula, humeru",,,,,,,,,,,,,
"5.Radius, ulna, ossa manus",,,,,,,,,,,,,
